CDM_base_stock$029980c305e47c357aac61c0ad0fdb170bfdcc20,ammoniums_100x_stock$1c96a3761389d04ce22fe399c1c06866cac540a1,dl_alanine_100x_stock$28e8ee55340d48094ce8e3b98d0c6c881c778170,glycine_100x_stock$f529248d44ecbe12b57c141356e72d0b099e1baa,l_arginine_100x_stock$d79710e5492579c601b1b0b90667ee3a4d9e23a6,l_asparagine_100x_stock$7dfaea4b6518542fdd66217d765052462de08382,l_aspartic_acid_45x_stock$5c0d8b015f8d4bef5eebd0879682bc2849acac70,l_cysteine_100x_stock$95390a9ca9752740b01f44d5e4609d61030b14c8,l_glutamic_acid_75x_stock$0b407db33d4dab95272c36909810126b20466d1c,l_glutamine_100x_stock$67ee36a8fa9b0367aed3583cb0659e3977e5ee83,l_histidine_100x_stock$c214d14d897c3fd906be97aaff04634c0ec456a5,l_isoleucine_100x_stock$32a1780eadfe1813192dfb7dd2eae0e781968ced,l_leucine_100x_stock$741ee7b590d093a4fd037d9e4f9cf76455203000,l_lysine_100x_stock$96abae0d5744904b23f998bc321886640746d0fc,l_methionine_100x_stock$6f592c26703c8d02ec53cf66ddb0396732667016,l_phenylalanine_100x_stock$fa5c21c35b5a2b0b66150e597e7a1db8753523f3,l_serine_100x_stock$62bf9e581489eef627558faf19c136dccef0eb13,l_threonine_100x_stock$b5d8f72551f90eaa633cdb6948ea811577549a6d,l_tryptophan_100x_stock$5fcdb5ccad2e2ee1a8036bf1d721594061e25dd9,l_tyrosine_100x_stock$c404e8b3645f57768c6cefab170ecc79d88a18d8,l_valine_100x_stock$2ea3dcbaafa54cdc5095ed7f57896af681d228ef,prolines_100x_stock$9948a9257cadb0a4c04a4c27e6668a4bce4c3fc7,water
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
40.0,0.1,0.8,0.8,0.0,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.8,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,20.6
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.0,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.8,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,20.6
40.0,0.1,0.8,0.8,0.8,0.8,0.0,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,23.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,22.4
40.0,0.1,0.8,0.0,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,23.4
40.0,0.1,0.8,0.8,0.8,0.0,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,22.4
40.0,0.1,0.0,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.0,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.8,0.8,0.8,0.8,0.8,0.0,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,21.6
40.0,0.8,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,20.6
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.0,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.8,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,20.6
40.0,0.8,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,19.8
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.0,1.1,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.0,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.0,1.1,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.8,0.8,0.8,0.0,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,20.6
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.0,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.8,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,20.6
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.0,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.8,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,20.6
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.0,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.0,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.0,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,23.4
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.0,1.1,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.0,0.8,0.8,0.0,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.0,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.0,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.0,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.0,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.0,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.0,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.8,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,20.6
40.0,0.1,0.8,0.0,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.0,0.8,1.8,0.0,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.0,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.0,0.8,1.8,0.8,1.1,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.0,0.8,1.8,0.8,1.1,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.0,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.0,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.0,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,22.1
40.0,0.8,0.8,0.8,0.8,0.8,1.8,0.0,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,20.6
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.0,0.8,0.8,0.8,1.8,0.0,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.0,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,22.1
40.0,0.1,0.8,0.0,0.8,0.8,1.8,0.8,1.1,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.0,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.0,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.0,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.0,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.0,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.0,1.1,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.0,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,22.1
40.0,0.8,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,20.6
40.0,0.1,0.0,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.4
40.0,0.1,0.0,0.8,0.8,0.8,1.8,0.8,1.1,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.0,0.8,0.8,0.0,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.0,0.8,0.8,1.8,0.8,1.1,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.8,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,20.6
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.0,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.0,1.1,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.0,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.0,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
