id,name,mw_g_mol,concentration_g_l,stock_concentration_x,stock_concentration_g_l,stock_volume_ml,solvent,labware
iron_nitrate,Fe(NO3)3·9H2O,241.86,0.001,2,0.002,250,water,Conical15ml
magnesium_sulfate,MgSO4·7H2O,120.366,0.7,2,1.4,250,water,Conical15ml
manganese_sulfate,MnSO4·H2O,151.001,0.005,2,0.01,250,water,Conical15ml
sodium_acetate,NaC2H3O2·3H2O,82.0343,4.5,2,9,250,water,Conical15ml
calcium_chloride,CaCl2·2H2O,110.98,0.00676,2,0.01352,250,water,Conical15ml
sodium_bicarbonate,sodium bicarbonate,84.007,2.5,2,5,1000,water,Conical50ml
potassium_phosphates,K2HPO4 + KH2PO4,310.286,1.2,2,2.4,250,water,Conical15ml
sodium_phosphates,NaH2PO4·H2O + Na2HPO4·7H2O ,406.06,17.068,2,34.136,1000,water,Conical50ml
paba,p-aminobenzoic acid,137.14,0.0002,2,0.0004,250,water,Conical15ml
biotin,biotin,244.31,0.0002,2,0.0004,250,water,Conical15ml
folic_acid,folic acid,441.4,0.0008,2,0.0016,250,20% 1 N NaOH,Conical15ml
niacinamide,niacinamide (synonym = nicotinamide),122.12,0.001,2,0.002,250,water,Conical15ml
nadp,b-nicotinamide adenine dinucleotide phosphate,744.413,0.0025,2,0.005,250,water,Conical15ml
pantothenate,pantothenate calcium salt,476.5,0.002,2,0.004,250,water,Conical15ml
pyridoxes,Pyridoxal + pyridoxamine dihydrochloride,408.27,0.002,2,0.004,250,water,Conical15ml
riboflavin,riboflavin,376.36,0.002,2,0.004,1000,water,Conical50ml
thiamine,thiamine hydrochloride,265.355,0.001,2,0.002,250,water,Conical15ml
vitamin_b12,vitamin B12,1355.38,0.0001,2,0.0002,250,water,Conical15ml
adenine,adenine,135.13,0.02,2,0.04,250,20% 2N HCl,Conical15ml
guanine,guanine hydrochloride,187.59,0.02,2,0.04,250,20% 2N HCl,Conical15ml
uracil,uracil,112.0868,0.02,2,0.04,250,20% 2N HCl,Conical15ml
d_glucose,Glucose,180.156,10,2,20,500,water,Conical50ml
dl_alanine,DL-alanine,89.09,0.1,100,10,250,water,Conical15ml
l_arginine,L-arginine,174.2,0.1,100,10,250,water,Conical15ml
l_aspartic_acid,L-aspartic acid,133.11,0.1,45,4.5,250,water,Conical50ml
l_asparagine,L-asparagine,132.12,0.1,100,10,250,water,Conical15ml
l_glutamic_acid,L-glutamic acid,147.13,0.1,75,7.5,250,water,Conical50ml
l_glutamine,L-glutamine,146.14,0.2,100,20,250,water,Conical15ml
glycine,glycine,75.07,0.1,100,10,250,water,Conical15ml
l_histidine,L-histidine,155.1546,0.1,100,10,250,water,Conical15ml
l_isoleucine,L-isoleucine,131.17,0.1,100,10,250,water,Conical15ml
l_leucine,L-leucine,131.17,0.1,100,10,250,water,Conical15ml
l_lysine,L-lysine,146.19,0.1,100,10,250,water,Conical15ml
l_methionine,L-methionine,149.21,0.1,100,10,250,water,Conical15ml
l_phenylalanine,L-phenylalanine,165.19,0.1,100,10,250,water,Conical15ml
prolines,L-proline + hydroxy-L-proline,246.26,0.2,100,20,250,water,Conical15ml
l_serine,L-serine,105.09,0.1,100,10,250,water,Conical15ml
l_threonine,L-threonine,119.1192,0.2,100,20,250,water,Conical15ml
l_tryptophan,L-tryptophan,204.23,0.1,100,10,250,water,Conical15ml
l_tyrosine,L-tyrosine,181.19,0.1,100,10,250,20% 1 N HCl,Conical15ml
l_valine,L-valine,117.151,0.1,100,10,250,water,Conical15ml
l_cysteine,L-cysteine HCl,121.16,0.65,100,65,250,water,Conical15ml
ammoniums,ammonium chloride + ammonium bicarbonate,132.547,2.65094,100,265.094,250,water,Conical15ml